5 Metas - Meta 3: Desempenho
Categorias;1995;1997;1999;2001;2003;2005;2007;2009;2011;2013;2015;2017;2019;2021
Meta - Brasil (8ª/9º EF - Mat.);;;;;;;14,1;17,9;25,4;37,1;45,4;54,0;62,3;70,0
Brasil (8ª/9º EF - Mat.);16,8;16,7;13,2;13,4;14,7;13,0;14,3;14,8;16,9;16,4;18,2;;;
Meta - Brasil (3ª EM - Mat.);;;;;;;11,6;14,3;19,6;28,3;40,6;52,7;61,7;70,0
Brasil (3ª EM - Mat.);11,6;17,9;11,9;11,6;12,8;10,9;9,8;11,0;10,3;9,3;7,3;;;
Meta - Brasil (3ª EM - Port.);;;;;;;23,5;26,3;31,5;39,0;49,0;58,1;64,3;70,0
Brasil (3ª EM - Port.);45,4;39,7;27,6;25,8;26,9;22,6;24,5;28,9;29,2;27,2;27,5;;;
Meta - Brasil (8ª/9º EF - Port.);;;;;;;20,7;24,7;32,0;42,9;49,9;57,0;63,7;70,0
Brasil (8ª/9º EF - Port.);37,5;31,8;18,6;21,8;20,1;19,5;20,5;26,3;27,0;28,7;33,9;;;
Meta - Brasil (4ª/5º EF - Mat.);;;;;;;21,1;29,1;35,4;42,3;49,5;56,7;63,6;70,0
Brasil (4ª/5º EF - Mat.);19,0;21,4;14,4;14,9;15,1;18,7;23,7;32,6;36,3;39,5;42,9;;;
Meta - Brasil (4ª/5º EF - Port.);;;;;;;29,0;36,6;42,2;47,9;53,7;59,4;64,9;70,0
Brasil (4ª/5º EF - Port.);39,3;35,5;24,8;23,7;25,6;26,6;27,9;34,2;40,0;45,1;54,7;;;

